"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","215","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidDescription","Edit profile. Invalid description",""
"passed","Fri Sep 16 20:02:58 GMT 2022","Fri Sep 16 20:02:58 GMT 2022","110","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileMediumLength","Edit profile. Invalid medium length",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","316","API Full","API","api.nft.search.SearchNftInCollectionTests","api.nft.search.SearchNftInCollectionTests","searchInCollectionMostRecent","Search nfts in random collection most recent",""
"unknown","Fri Sep 16 20:02:48 GMT 2022","Fri Sep 16 20:02:48 GMT 2022","0","API Full","API","api.nft.search.SearchNftTests","api.nft.search.SearchNftTests","searchInWalletRecentlyListed","searchInWalletRecentlyListed",""
"passed","Fri Sep 16 20:02:57 GMT 2022","Fri Sep 16 20:02:57 GMT 2022","282","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","editCollectionSettingsInvalidLinkedin","Edit collection settings. Invalid linkedin",""
"passed","Fri Sep 16 20:02:56 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","85","API Full","API","api.social.FollowUnfollowCollection","api.social.FollowUnfollowCollection","unfollowNotExistingCollectionId","Unfollow collection. Collection id not found",""
"passed","Fri Sep 16 20:02:54 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","312","API Full","API","api.social.profile.EditProfileTests","api.social.profile.EditProfileTests","editProfileWebsiteUrl","Edit profile website url",""
"passed","Fri Sep 16 20:02:59 GMT 2022","Fri Sep 16 20:02:59 GMT 2022","263","API Full","API","api.social.GetUpdateCollectionSettingsTests","api.social.GetUpdateCollectionSettingsTests","editCollectionSettingsInvalidYoutube","Edit collection settings. Invalid youtube",""
"passed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:51 GMT 2022","219","API Full","API","api.nft.LikeUnlikeNftTests","api.nft.LikeUnlikeNftTests","likeInvalidNftId","Like NFT. Invalid nft id",""
"passed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:51 GMT 2022","319","API Full","API","api.nft.PinUnpinNftTests","api.nft.PinUnpinNftTests","pinInvalidNftId","Pin NFT. Invalid NFT id",""
"passed","Fri Sep 16 20:02:51 GMT 2022","Fri Sep 16 20:02:51 GMT 2022","82","API Full","API","api.nft.LikeUnlikeNftTests","api.nft.LikeUnlikeNftTests","unlikeUnauthorized","Unlike. Unauthorized",""
"broken","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","257","API Full","API","api.nft.GetNftActiveOffers","api.nft.GetNftActiveOffers","getNftActiveOffers","Get NFT active offers",""
"passed","Fri Sep 16 20:02:59 GMT 2022","Fri Sep 16 20:02:59 GMT 2022","128","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileTwitterLength","Edit profile. Invalid twitter length",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:56 GMT 2022","338","API Full","API","api.social.profile.EditProfileSocialLinksTests","api.social.profile.EditProfileSocialLinksTests","editProfileInstagram","Edit profile instagram",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","165","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidUsername","Edit profile. Invalid username",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","132","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidEmail","Edit profile. Invalid email",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","145","API Full","API","api.social.profile.EditProfileNegativeTests","api.social.profile.EditProfileNegativeTests","editProfileInvalidEmail","Edit profile. Invalid email",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","2341","API Full","API","api.social.profile.EditSocialLinksNegativeTests","api.social.profile.EditSocialLinksNegativeTests","editProfileDiscordLength","Edit profile. Invalid discord length",""
"failed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:53 GMT 2022","610","API Full","API","api.social.profile.EditProfileTests","api.social.profile.EditProfileTests","editProfileAvatarUrl","Edit profile avatar url",""
"passed","Fri Sep 16 20:02:53 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","2452","API Full","API","api.social.profile.EditProfileSocialLinksTests","api.social.profile.EditProfileSocialLinksTests","editProfileFacebook","Edit profile facebook",""
"passed","Fri Sep 16 20:02:52 GMT 2022","Fri Sep 16 20:02:52 GMT 2022","423","API Full","API","api.nft.search.SearchNftInCollectionTests","api.nft.search.SearchNftInCollectionTests","searchInCollectionHasOffers","Search nfts in random collection has offers",""
"passed","Fri Sep 16 20:02:57 GMT 2022","Fri Sep 16 20:02:57 GMT 2022","320","API Full","API","api.social.profile.EditProfileSocialLinksTests","api.social.profile.EditProfileSocialLinksTests","editProfileTelegram","Edit profile telegram",""
"passed","Fri Sep 16 20:02:55 GMT 2022","Fri Sep 16 20:02:55 GMT 2022","88","API Full","API","api.social.FollowUnfollowCollection","api.social.FollowUnfollowCollection","followInvalidCollectionId","Follow collection. Invalid collection id",""
